"marca","modello","regione","zona_geografica","prezzo_auto","anno_prod","carrozzeria","tipo_di_veicolo","trazione","posti","porte","per_neopatentati","chilometraggio","kW","cv","cilindrata","marce","cilindri","carburante","classe_emissioni","colore","metallizzata","materiale","ibrida","usato_garantito","veicolo_non_fumatori","finiture","tagliandi_certificati","peso","emissioni","consumi","autoradio","isofix","park.distance.control","cruise.control","fendinebbia","bluetooth","volante.in.pelle","climatizzatore","sensori.parcheggio","volante.multifunzione","usb","computer.di.bordo","controllo.pressione.gomme","sedile.posteriore.sdoppiato","cerchi.in.lega","controllo.automatico.trazione","immobilizer","airbag.testa","bracciolo","sensore.luminosita","start.stop","navigatore","autoradio.digitale","frenata.emergenza","touch.screen","chiusura.centralizzata.telecomandata","sensore.pioggia","clima.automatico","mp3","fari.led","vivavoce","controllo.elettronico.corsia","android.auto","apple.car.play","hill.holder","telecamera.posteriore","limitatore.velocita","vetri.oscurati","sound.system","luci.diurne.led","luci.diurne","riconoscimento.segnali","sensori.parcheggio.anteriori","kit.antipanne","antifurto"
"Dacia ","Sandero","Piemonte","Nord Ovest",14900,2022,"City Car","Usato","Anteriore",5,5,"No",11000,67,91,999,"6 o piu",3,"Benzina","Euro 6","Grigia","Si","Stoffa","No","6-12 mesi","Non dichiarato","Nere","No",1096,119,5.3,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Dacia ","Sandero","Emilia-Romagna","Centro",9900,2018,"City Car","Usato","Anteriore",5,5,"No",34000,66,90,898,"5",3,"Benzina","Euro 6","Grigia","Si","Stoffa","No","No","Non dichiarato","Nere","No",1064,115,5.1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dacia ","Sandero","Piemonte","Nord Ovest",6999,2016,"City Car","Usato","Anteriore",5,5,"No",141047,66,90,1461,"5",4,"Gasolio","Euro 6","Colorata","Si","Stoffa","No","6-12 mesi","Non dichiarato","Grigie","No",1198,98,3.8,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Dacia ","Sandero","Campania","Sud",6990,2013,"City Car","Usato","Anteriore",5,5,"No",66500,66,90,1461,"5",4,"Gasolio","Euro 5","Bianca","No","Stoffa","No","No","Non dichiarato","Grigie","No",1123,105,4,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Dacia ","Sandero","Veneto","Nord Est",14000,2024,"City Car","Nuovo","Anteriore",5,5,"No",0,74,101,999,"6 o piu",3,"GPL","Euro 6","Bianca","No","Stoffa","No","No","Non dichiarato","Grigie","No",1229,131,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0
"Dacia ","Sandero","Toscana","Centro",13500,2023,"City Car","Usato","Anteriore",5,5,"No",5600,74,101,999,"5",3,"GPL","Euro 6","Bianca","No","Altro","No","6-12 mesi","Non dichiarato","Colorate","No",1106,102,6.5,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Dacia ","Sandero","Piemonte","Nord Ovest",17650,2023,"City Car","Nuovo","Anteriore",5,5,"No",10,74,101,999,"6 o piu",3,"Benzina","Euro 6","Non specificato","No","Stoffa","No","Oltre 36 mesi","Non dichiarato","Nere","No",1106,91,6.3,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Dacia ","Sandero","Lombardia","Nord Ovest",8900,2016,"City Car","Usato","Anteriore",5,5,"No",60000,66,90,898,"Automatico",3,"Benzina","Euro 6","Bianca","No","Stoffa","No","No","Si","Grigie","Si",1103,110,4.9,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Dacia ","Sandero","Veneto","Nord Est",9900,2016,"City Car","Usato","Anteriore",5,5,"Si",100528,49,67,1461,"Automatico",4,"Gasolio","Euro 6","Bianca","No","Pelle","No","6-12 mesi","Non dichiarato","Non specificato","No",1090,98,3.8,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dacia ","Sandero","Veneto","Nord Est",15700,2024,"City Car","Nuovo","Anteriore",5,5,"No",0,74,101,999,"6 o piu",3,"GPL","Euro 6","Colorata","No","Stoffa","No","No","Non dichiarato","Grigie","No",1209,131,5.8,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0
"Dacia ","Sandero","Lombardia","Nord Ovest",10490,2019,"City Car","Usato","Anteriore",5,5,"No",75000,70,95,1461,"5",4,"Gasolio","Euro 6 Plus","Colorata","Si","Stoffa","No","6-12 mesi","Si","Grigie","Si",1165,103,3.9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
"Dacia ","Sandero","Lombardia","Nord Ovest",12800,2022,"City Car","Usato","Anteriore",5,5,"No",54892,66,90,999,"5",3,"Benzina","Euro 6 Plus","Colorata","Si","Stoffa","No","6-12 mesi","Non dichiarato","Nere","Si",1127,98,6.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0
"Dacia ","Sandero","Piemonte","Nord Ovest",14500,2023,"City Car","Nuovo","Anteriore",5,5,"No",10,66,90,999,"6 o piu",3,"Benzina","Euro 6","Colorata","Si","Stoffa","No","Oltre 36 mesi","Non dichiarato","Nere","No",1106,101,6.3,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Dacia ","Sandero","Lombardia","Nord Ovest",9900,2018,"City Car","Usato","Anteriore",5,5,"No",82500,66,90,898,"5",3,"Benzina","Euro 6","Colorata","Si","Stoffa","No","6-12 mesi","Si","Non specificato","No",1139,115,5.1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
"Dacia ","Sandero","Lombardia","Nord Ovest",6950,2011,"City Car","Usato","Anteriore",5,5,"No",78500,62,84,1598,"5",4,"Benzina","Euro 5","Grigia","Si","Stoffa","No","No","Non dichiarato","Nere","No",1062,169,7.5,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancia ","Ypsilon","Lombardia","Nord Ovest",12800,2023,"City Car","Usato","Anteriore",5,5,"Si",1,51,69,999,"6 o piu",3,"Benzina","Euro 6 Plus","Nera","No","Stoffa","Si","No","Non dichiarato","Nere","No",1055,110,NA,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Lancia ","Ypsilon","Umbria","Centro",9800,2018,"City Car","Usato","Anteriore",4,5,"Si",69140,51,69,1242,"5",4,"Benzina","Euro 6","Grigia","No","Stoffa","No","No","Non dichiarato","Nere","No",965,120,5.2,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lancia ","Ypsilon","Lazio","Centro",9790,2020,"City Car","Usato","Anteriore",4,5,"Si",35000,51,69,1242,"5",4,"Benzina","Euro 6 Plus","Colorata","No","Stoffa","No","24-36 mesi","Non dichiarato","Nere","Si",1040,119,5.3,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancia ","Ypsilon","Piemonte","Nord Ovest",12900,2024,"City Car","Usato","Anteriore",4,5,"Si",8,51,69,999,"6 o piu",3,"Benzina","Euro 6 Plus","Bianca","No","Stoffa","Si","6-12 mesi","Non dichiarato","Nere","No",1055,90,4,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"Lancia ","Ypsilon","Lombardia","Nord Ovest",7700,2014,"City Car","Usato","Anteriore",5,5,"Si",120000,51,69,1242,"5",4,"Benzina","Euro 6","Bianca","No","Stoffa","No","No","Si","Nere","No",965,118,4.9,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lancia ","Ypsilon","Toscana","Centro",4000,2008,"City Car","Usato","Anteriore",4,3,"Si",58900,44,60,1242,"5",4,"Benzina","Euro 4 o meno","Non specificato","No","Stoffa","No","No","Non dichiarato","Non specificato","Si",945,139,5.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancia ","Ypsilon","Veneto","Nord Est",9900,2017,"City Car","Usato","Anteriore",4,5,"Si",17000,51,69,1242,"5",4,"Benzina","Euro 6","Bianca","No","Stoffa","No","6-12 mesi","Si","Grigie","No",1040,120,5.2,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancia ","Ypsilon","Piemonte","Nord Ovest",5700,2013,"City Car","Usato",NA,5,5,"No",175800,70,95,1248,"5",4,"Gasolio","Euro 5","Colorata","Si","Altro","No","6-12 mesi","Si","Non specificato","Si",1050,99,3.8,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
"Lancia ","Ypsilon","Toscana","Centro",9900,2020,"City Car","Usato","Anteriore",4,5,"Si",37140,51,69,1242,"5",4,"Benzina","Euro 6","Non specificato","No","Pelle","No","No","Non dichiarato","Non specificato","No",965,120,5.2,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lancia ","Ypsilon","Lombardia","Nord Ovest",6500,2014,"City Car","Usato","Anteriore",4,5,"Si",106900,51,69,1242,"5",4,"Benzina","Euro 5","Nera","No","Stoffa","No","6-12 mesi","Non dichiarato","Non specificato","Si",965,120,5.2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lancia ","Ypsilon","Toscana","Centro",9900,2017,"City Car","Usato","Anteriore",4,5,"Si",54746,51,69,1242,"5",4,"Benzina","Euro 6","Colorata","Si","Altro","No","24-36 mesi","Non dichiarato","Non specificato","No",1040,120,5.2,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0
"Lancia ","Ypsilon","Piemonte","Nord Ovest",10900,2022,"City Car","Usato","Anteriore",5,5,"Si",11450,51,69,999,"6 o piu",3,"Benzina","Euro 6 Plus","Bianca","No","Altro","Si","6-12 mesi","Si","Nere","Si",1055,NA,NA,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"Lancia ","Ypsilon","Piemonte","Nord Ovest",8930,2021,"City Car","Usato","Anteriore",4,5,"Si",61000,51,69,999,"6 o piu",3,"Benzina","Euro 6 Plus","Grigia","No","Stoffa","Si","Oltre 36 mesi","Si","Nere","No",1055,124,4,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
"Lancia ","Ypsilon","Lombardia","Nord Ovest",8500,2016,"City Car","Usato","Anteriore",4,5,"Si",53650,51,69,1242,"5",4,"Benzina","Euro 6","Non specificato","No","Pelle","No","No","Non dichiarato","Non specificato","No",965,120,5.2,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancia ","Ypsilon","Lombardia","Nord Ovest",12390,2022,"City Car","Usato","Anteriore",4,5,"Si",20053,51,69,999,"6 o piu",3,"Benzina","Euro 6","Bianca","Si","Altro","Si","No","Si","Nere","No",1040,NA,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancia ","Ypsilon","Toscana","Centro",5900,2011,"City Car","Usato","Anteriore",5,5,"No",121000,63,86,875,"5",2,"Benzina","Euro 5","Non specificato","No","Altro","No","No","Non dichiarato","Non specificato","No",975,99,4.2,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lancia ","Ypsilon","Lombardia","Nord Ovest",4500,2011,"City Car","Usato","Anteriore",4,3,"Si",110609,51,69,1242,"5",4,"Benzina","Euro 5","Colorata","Si","Stoffa","No","No","Non dichiarato","Nere","No",1020,114,4.9,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancia ","Ypsilon","Lombardia","Nord Ovest",10990,2018,"City Car","Usato","Anteriore",5,5,"Si",30000,51,69,1242,"5",4,"Benzina","Euro 6","Nera","Si","Altro","No","6-12 mesi","Si","Non specificato","Si",965,120,5.2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"Lancia ","Ypsilon","Lombardia","Nord Ovest",9500,2017,"City Car","Usato","Anteriore",4,5,"Si",19250,51,69,1242,"5",4,"Benzina","Euro 6","Nera","No","Stoffa","No","6-12 mesi","Si","Nere","No",965,120,5.2,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Toyota ","Yaris Cross","Lazio","Centro",13490,2020,"SUV","Usato","Anteriore",5,5,"Si",27000,54,73,1497,"Automatico",4,"Benzina","Euro 6","Nera","Si","Stoffa","Si","6-12 mesi","Si","Grigie","Si",1165,75,3.3,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1
"Toyota ","Yaris Cross","Piemonte","Nord Ovest",5990,2012,"SUV","Usato","Anteriore",5,3,"No",169990,66,90,1364,"Automatico",4,"Gasolio","Euro 5","Bianca","Si","Pelle","No","6-12 mesi","Non dichiarato","Nere","No",1150,105,4,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
