"marca","modello","paese","prezzo_auto","anticipo","durata","importo_finanziato","importo_totale_dovuto","taeg","tan_fisso","rata","carrozzeria","tipo_di_veicolo","trazione","posti","porte","offerta_n","per_neopatentati","chilometraggio","anno","anno_di_produzione","potenza","tipo_di_cambio","cilindrata","marce","cilindri","peso_a_vuoto","carburante","consumo_di_carburante2_8","emissioni_co_2_8","classe_emissioni","comfort","intrattenimento_media","sicurezza","extra","colore","colore_specifico","tipo_di_vernice","materiale","optional","altre_fonti_energetiche","acconto","usato_garantito","veicolo_non_fumatori","colore_finiture_interne","versione_per_nazione","ultimo_tagliando","proprietari","tagliandi_certificati","revisione","costo_del_trasferimento","consumo_di_carburante_wltp_2_8","emissioni_co_wltp_2_8","disponibilita","cambio_cinghia_distribuzione","emissioni_co_2","costo_di_registrazione","importo_da_pagare","importo_totale_netto_del_credito","importo_lordo_del_credito","spese","taeg_2","rata_mensile","rata_finale","acconto_1","gamma_elettrica_wltp","consumo_di_energia_wltp_2","v6","pagamento_speciale"
"Peugeot ","1.2 puretech Allure s&s 130cv Con CARPLAY","Latina - Lt, IT","€ 16.989,-","-","60 Mesi","€ 17.000,-","€ 20.871,-","8,73 %","8,01 %","€ 344,70","SUV/Fuoristrada/Pick-up","Usato","Anteriore",5,5,"1328315",NA,"38.673 km","04/2021",NA,"96 kW (131 CV)","Manuale","1.199 cm³",6,3,NA,"Benzina E10 91","5,4 l/100 km (comb.)5,3 l/100 km (urbano)4 l/100 km (extraurbano)","121 g/km (comb.)","Euro 6","Comfort","Intrattenimento / Media","Sicurezza","Extra","Arancione",NA,"Metallizzato",NA,"Alzacristalli elettrici*Bracciolo*Chiusura centralizzata senza chiave*Climatizzatore*Controllo automatico clima*Cruise Control*Hill Holder*Park distance control*Regolazione elettrica sedili*Sensore di pioggia*Sensori di parcheggio assistito posteriori*Sistema di navigazione*Specchietti laterali elettrici*Start/Stop Automatico*Telecamera per parcheggio assistito*Vetri oscurati*Volante in pelle*Volante multifunzione*Android Auto*Autoradio digitale*Bluetooth*Computer di bordo*Sound system*Vivavoce*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Airbag posteriore*Chiusura centralizzata*ESP*Fari LED*Fari direzionali*Fari full-LED*Frenata d'emergenza assistita*Immobilizzatore elettronico*Isofix*Limitatore di velocità*Luci diurne LED*Riconoscimento dei segnali stradali*Servosterzo*Sistema di controllo pressione pneumatici*Sistema di riconoscimento della stanchezza*Cerchi in lega*Controllo vocale*Touch screen*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,NA,NA,"Sì","Grigio","Italia",NA,1,"Sì",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peugeot ","BlueHDi 100 S&S Active","Mappano Di Borgaro - Torino - To, IT","€ 15.000,-","-","60 Mesi","€ 15.000,-","€ 18.223,20","8,25 %","7,51 %","€ 300,57","SUV/Fuoristrada/Pick-up","Usato","Anteriore",5,5,"7568950",NA,"18.964 km","11/2019",2019,"75 kW (102 CV)","Manuale","1.499 cm³",5,4,"1.205 kg","Diesel","3,5 l/100 km (comb.)4 l/100 km (urbano)3,2 l/100 km (extraurbano)","93 g/km (comb.)","Euro 6","Comfort","Intrattenimento / Media","Sicurezza","Extra","Blu/Azzurro","Blu","Altro",NA,"Alzacristalli elettrici*Controllo automatico clima*Cruise Control*Sedile posteriore sdoppiato*Specchietti laterali elettrici*Volante in pelle*Computer di bordo*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata*ESP*Fari LED*Fendinebbia*Isofix*Luci diurne LED*Servosterzo*Kit antipanne*Portapacchi*Sospensioni sportive*Spoiler*Touch screen*Tutti i prezzi si intendono al netto dei costi di messa su strada, voltura e gestione amministrativa. La dotazione tecnica e gli accessori indicati nella presente scheda potrebbero non coincidere con l’effettivo equipaggiamento del veicolo, a causa della non uniformità dei dati pubblicati dai diversi portali. Ci scusiamo per l’inconveniente e vi invitiamo a verificare con il nostro venditore le caratteristiche dello specifico veicolo. Saicar S.r.l declina ogni responsabilità per eventuali involontarie incongruenze, che non rappresentano in alcun modo un impegno contrattuale.*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peugeot ","BlueHDi 100 Allure","Ferrara - FE, IT","€ 11.500,-","-","84 Mesi","€ 11.800,-","€ 16.379,72","10,36 %","8,50 %","€ 190,83","SUV/Fuoristrada/Pick-up","Usato","Anteriore",5,5,"7931281",NA,"98.500 km","02/2018",2018,"73 kW (99 CV)","Manuale","1.560 cm³",5,4,"1.160 kg","Diesel","3,7 l/100 km (comb.)4,4 l/100 km (urbano)3,3 l/100 km (extraurbano)","97 g/km (comb.)","Euro 6","Comfort","Intrattenimento / Media","Sicurezza","Extra",NA,NA,"Altro","Pelle scamosciata","Alzacristalli elettrici*Controllo automatico clima*Cruise Control*Sedile posteriore sdoppiato*Specchietti laterali elettrici*Volante in pelle*Computer di bordo*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata*ESP*Fari LED*Fendinebbia*Isofix*Luci diurne LED*Servosterzo*Cerchi in lega*Kit antipanne*Portapacchi*Sospensioni sportive*Spoiler*Touch screen*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore",NA,"€ 0,-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peugeot ","pure tech NEOPATENTATO","Cernusco Sul Naviglio - Milano, IT","€ 9.600,-","-","60 Mesi","€ 9.600,-","€ 11.854,20","9,00 %","7,95 %","€ 194,42","City car","Usato","Anteriore",5,5,NA,NA,"88.000 km","01/2016",NA,"60 kW (82 CV)","Manuale",NA,NA,NA,NA,"Benzina",NA,NA,"Euro 6","Comfort","Intrattenimento / Media","Sicurezza","Extra","Argento",NA,"Metallizzato",NA,"Alzacristalli elettrici*Bracciolo*Climatizzatore*Cruise Control*Park distance control*Sedile passeggero ribaltabile*Sedile posteriore sdoppiato*Sensori di parcheggio assistito posteriori*Specchietti laterali elettrici*Volante in pelle*Volante multifunzione*Autoradio*Autoradio digitale*Bluetooth*CD*Computer di bordo*MP3*Schermo multifunzione interamente digitale*Streaming musicale integrato*Vivavoce*ABS*Airbag conducente*Airbag passeggero*Chiusura centralizzata*Chiusura centralizzata telecomandata*Controllo automatico trazione*ESP*Immobilizzatore elettronico*Servosterzo*Luce d'ambiente*Marmitta catalitica*Pneumatici da neve*Pneumatici estivi*Sedili sportivi*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,NA,NA,NA,"Nero",NA,"03/2023",NA,"Sì",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peugeot ","PureTech Turbo 130 S&S Black Matt NAVI","Varese - Va, IT","€ 14.500,-","-","60 Mesi","€ 14.500,-","€ 17.622,-","8,27 %","7,50 %","€ 290,55","SUV/Fuoristrada/Pick-up","Usato","Anteriore",5,5,"7920052",NA,"46.475 km","10/2019",2019,"96 kW (131 CV)","Manuale","1.199 cm³",6,3,"1.155 kg","Benzina","5,1 l/100 km (comb.)6,1 l/100 km (urbano)4,6 l/100 km (extraurbano)","118 g/km (comb.)","Euro 6","Comfort","Intrattenimento / Media","Sicurezza","Extra","Argento","Argento","Metallizzato","Stoffa","Alzacristalli elettrici*Controllo automatico clima*Cruise Control*Park distance control*Sedile posteriore sdoppiato*Sistema di navigazione*Specchietti laterali elettrici*Telecamera per parcheggio assistito*Vetri oscurati*Volante in pelle*Computer di bordo*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata*ESP*Fari LED*Fendinebbia*Frenata d'emergenza assistita*Isofix*Luci diurne LED*Servosterzo*Cerchi in lega*Kit antipanne*Pacchetto sportivo*Sospensioni sportive*Spoiler*Touch screen*sulla nostra Pagina FACEBOOK*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,"€ 0,-","12 mesi",NA,"Nero",NA,NA,NA,NA,NA,"€ 999,-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peugeot ","1.5 bluehdi Allure s&s 110cv","Torino - To, IT","€ 18.900,-","-","60 Mesi","€ 18.900,-","€ 23.182,20","8,69 %","8,00 %","€ 383,22","SUV/Fuoristrada/Pick-up","Usato","Anteriore",5,5,"08308870016-U232553",NA,"41.658 km","11/2021",NA,"81 kW (110 CV)","Manuale","1.499 cm³",6,4,"1.280 kg","Diesel","3,7 l/100 km (comb.)4,4 l/100 km (urbano)3,3 l/100 km (extraurbano)","98 g/km (comb.)","Euro 6","Comfort","Intrattenimento / Media","Sicurezza","Extra","Bianco","BIANCO","Altro","Altro","Alzacristalli elettrici*Bracciolo*Controllo automatico clima*Cruise Control*Hill Holder*Park distance control*Sensori di parcheggio assistito posteriori*Specchietti laterali elettrici*Vetri oscurati*Volante in pelle*Autoradio digitale*USB*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata telecomandata*Controllo elettronico della corsia*ESP*Isofix*Luci diurne LED*Riconoscimento dei segnali stradali*Sistema di controllo pressione pneumatici*Cerchi in lega*Kit antipanne*Portapacchi*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,"€ 0,-","12 mesi",NA,"Altro",NA,NA,NA,NA,NA,"Keine Angabe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peugeot ","PureTech 82 Allure GPL","Mappano Di Borgaro - Torino - To, IT","€ 9.900,-","-","60 Mesi","€ 9.900,-","€ 12.219,-","8,98 %","7,96 %","€ 200,50","SUV/Fuoristrada/Pick-up","Usato","Anteriore",5,5,"7950312",NA,"131.905 km","06/2018",2018,"60 kW (82 CV)","Manuale","1.199 cm³",5,3,"1.045 kg","Benzina","4,9 l/100 km (comb.)6 l/100 km (urbano)4,3 l/100 km (extraurbano)","114 g/km (comb.)","Euro 6","Comfort","Intrattenimento / Media","Sicurezza","Extra","Bianco","Bianco","Altro","Pelle parziale","Alzacristalli elettrici*Controllo automatico clima*Cruise Control*Sedile posteriore sdoppiato*Specchietti laterali elettrici*Volante in pelle*Computer di bordo*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata*ESP*Fari LED*Fendinebbia*Isofix*Luci diurne LED*Servosterzo*Cerchi in lega*Kit antipanne*Portapacchi*Sospensioni sportive*Spoiler*Touch screen*Tutti i prezzi si intendono al netto dei costi di messa su strada, voltura e gestione amministrativa. La dotazione tecnica e gli accessori indicati nella presente scheda potrebbero non coincidere con l’effettivo equipaggiamento del veicolo, a causa della non uniformità dei dati pubblicati dai diversi portali. Ci scusiamo per l’inconveniente e vi invitiamo a verificare con il nostro venditore le caratteristiche dello specifico veicolo. Saicar S.r.l declina ogni responsabilità per eventuali involontarie incongruenze, che non rappresentano in alcun modo un impegno contrattuale.*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,NA,NA,NA,"Nero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peugeot ","1.2 PureTech Turbo 110cv Allure EAT6","Vigevano - Pavia - Pv, IT","€ 11.900,-","-","60 Mesi","€ 11.900,-","€ 14.496,-","8,37 %","7,50 %","€ 238,45","SUV/Fuoristrada/Pick-up","Usato","Anteriore",5,5,"7844534",NA,"66.027 km","04/2016",2016,"81 kW (110 CV)","Automatico","1.199 cm³",6,3,"1.140 kg","Benzina","4,8 l/100 km (comb.)5,9 l/100 km (urbano)4,1 l/100 km (extraurbano)","110 g/km (comb.)","Euro 6","Comfort","Intrattenimento / Media","Sicurezza","Extra","Bianco","Bianco","Altro",NA,"Alzacristalli elettrici*Climatizzatore automatico, 2 zone*Park distance control*Sensore di luminosità*Sensori di parcheggio assistito posteriori*Specchietti laterali elettrici*Volante in pelle*Volante multifunzione*Autoradio*Bluetooth*Computer di bordo*USB*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata*Chiusura centralizzata telecomandata*ESP*Fari LED*Fendinebbia*Isofix*Limitatore di velocità*Luci diurne LED*Servosterzo*Sistema di controllo pressione pneumatici*Cerchi in lega*Kit antipanne*Leve al volante*Sospensioni sportive*Spoiler*Touch screen*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,NA,"12 mesi",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peugeot ","2008 1.6 bluehdi Active 100cv my16","Rivarolo Canavese - To, IT","€ 11.950,-","-","60 Mesi","€ 11.950,-","€ 14.556,-","8,37 %","7,50 %","€ 239,45","Station wagon","Usato",NA,5,5,"7784",NA,"72.000 km","03/2017",NA,"73 kW (99 CV)","Manuale","1.560 cm³",5,4,"1.235 kg","Diesel",NA,NA,"Euro 6","Comfort","Intrattenimento / Media","Sicurezza","Extra","Grigio",NA,"Metallizzato",NA,"Alzacristalli elettrici*Climatizzatore*Climatizzatore automatico, 2 zone*Cruise Control*Hill Holder*Park distance control*Sedile posteriore sdoppiato*Sensore di luminosità*Sensore di pioggia*Sensori di parcheggio assistito posteriori*Sistema di navigazione*Specchietti laterali elettrici*Tetto panoramico*Volante in pelle*Android Auto*Apple CarPlay*Autoradio*CD*Computer di bordo*MP3*Sound system*USB*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Airbag testa*Chiusura centralizzata*Chiusura centralizzata telecomandata*ESP*Fari LED*Fendinebbia*Frenata d'emergenza assistita*Isofix*Servosterzo*Sistema di controllo pressione pneumatici*Cerchi in lega (16"")*Luce d'ambiente*Portapacchi*Ruota di riserva*Ruotino*Sedili sportivi*Touch screen*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,"€ 0,-","12 mesi","Sì",NA,NA,NA,NA,NA,NA,"€ 995,-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peugeot ","PureTech Turbo 110 S&S Allure","Castello di Brianza - Lecco -   Lc, IT","€ 14.900,-","-","84 Mesi","€ 14.900,-","€ 20.503,28","10,05 %","8,50 %","€ 239,92","SUV/Fuoristrada/Pick-up","Usato","Anteriore",5,5,"7843905",NA,"40.903 km","11/2017",2017,"81 kW (110 CV)","Manuale","1.199 cm³",5,3,"1.090 kg","Benzina","4,4 l/100 km (comb.)5,3 l/100 km (urbano)3,9 l/100 km (extraurbano)","103 g/km (comb.)","Euro 6d-TEMP","Comfort","Intrattenimento / Media","Sicurezza","Extra","Grigio","Grigio","Metallizzato","Pelle parziale","Alzacristalli elettrici*Controllo automatico clima*Cruise Control*Park distance control*Sedile posteriore sdoppiato*Specchietti laterali elettrici*Telecamera per parcheggio assistito*Vetri oscurati*Volante in pelle*Computer di bordo*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata*ESP*Fari LED*Fendinebbia*Isofix*Luci diurne LED*Servosterzo*Cerchi in lega*Kit antipanne*Portapacchi*Ruota di riserva*Sospensioni sportive*Spoiler*Touch screen*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,"€ 0,-","12 mesi",NA,"Nero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peugeot ","PureTech 130 S&S Allure Pack","Piove di Sacco - Pd, IT","€ 20.500,-","-","84 Mesi","€ 20.500,-","€ 27.953,24","9,72 %","8,50 %","€ 328,61","SUV/Fuoristrada/Pick-up","Usato","Anteriore",5,5,"20148550",NA,"22.500 km","08/2021",NA,"96 kW (131 CV)","Manuale","1.199 cm³",6,3,"1.342 kg","Benzina","4,5 l/100 km (comb.)5,3 l/100 km (urbano)4 l/100 km (extraurbano)",NA,"Euro 6d-TEMP","Comfort","Intrattenimento / Media","Sicurezza","Extra","Argento","Argento",NA,NA,"Alzacristalli elettrici*Controllo automatico clima*Cruise Control*Sistema di navigazione*Autoradio*Computer di bordo*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata*Controllo automatico trazione*Fendinebbia*Servosterzo*Cerchi in lega*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,NA,"12 mesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peugeot ","N1 PureTech 100 S&S Allure Autocarro","Desenzano del Garda – Brescia, IT","€ 22.050,-","-","60 Mesi","€ 22.050,-","€ 27.014,40","8,63 %","8,00 %","€ 447,09","SUV/Fuoristrada/Pick-up","KM0","Anteriore",4,5,"20327391",NA,"1 km","12/2023",NA,"74 kW (101 CV)","Manuale","1.199 cm³",6,3,"1.263 kg","Benzina","4,6 l/100 km (comb.)5,5 l/100 km (urbano)4 l/100 km (extraurbano)","105 g/km (comb.)","Euro 6d-TEMP","Comfort","Intrattenimento / Media","Sicurezza","Extra","Grigio","Grigio Selenium","Metallizzato","Pelle parziale","Alzacristalli elettrici*Bracciolo*Chiusura centralizzata senza chiave*Climatizzatore*Controllo automatico clima*Cruise Control*Hill Holder*Park distance control*Sedile posteriore sdoppiato*Sensore di luminosità*Sensore di pioggia*Sensori di parcheggio assistito anteriori*Sensori di parcheggio assistito posteriori*Specchietti laterali elettrici*Start/Stop Automatico*Vetri oscurati*Volante in pelle*Volante multifunzione*Android Auto*Apple CarPlay*Autoradio*Autoradio digitale*Bluetooth*Carica per smartphone a induzione*Computer di bordo*MP3*Schermo multifunzione interamente digitale*Streaming musicale integrato*USB*Vivavoce*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Airbag testa*Antifurto*Chiusura centralizzata*Chiusura centralizzata telecomandata*Controllo automatico trazione*Controllo elettronico della corsia*ESP*Fari LED*Fendinebbia*Frenata d'emergenza assistita*Immobilizzatore elettronico*Isofix*Limitatore di velocità*Luci diurne*Luci diurne LED*Riconoscimento dei segnali stradali*Servosterzo*Sistema di avviso di distanza*Sistema di controllo pressione pneumatici*Sistema di riconoscimento della stanchezza*Cerchi in lega (17"")*Controllo vocale*Freno di stazionamento elettrico*Touch screen*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,"€ 0,-","24 mesi",NA,"Grigio",NA,NA,NA,NA,NA,"€ 1.190,-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peugeot ","1.5 BLUEHDI 130CV ALLURE PACK EAT8","Voghera - Pavia - Pv, IT","€ 22.990,-","-","84 Mesi","€ 23.000,-","€ 31.278,80","9,62 %","8,50 %","€ 368,20","City car","Usato","Anteriore",5,5,"47295",NA,"12.743 km","11/2021",NA,"96 kW (131 CV)","Automatico","1.499 cm³",8,4,NA,"Diesel","3,8 l/100 km (comb.)4,3 l/100 km (urbano)3,5 l/100 km (extraurbano)","100 g/km (comb.)","Euro 6","Comfort","Intrattenimento / Media","Sicurezza",NA,"Nero","Nero Perla","Metallizzato","Altro","Park distance control*Sensori di parcheggio assistito posteriori*Sistema di navigazione*Autoradio digitale*ABS*VERNICE EXTRA SERIE NERO PERLA *CAMBIO AUTOMATICO *GRIP CONTROL *NAVIGATORE *AUTO PRIMA QUALITA', Certificate da 200 controlli dai nostri tecnici*KM AUTO, verificati e reali*LAVAGGIO E SANIFICAZIONE professionale con ozono*GARANZIA MINIMA 12 MESI estendibile fino a 36 mesi*SODDISFATTO O RIMBORSATO hai 14 giorni max 500km per restituirci l'auto*PREZZO TRASPARENTE, Spesso proponiamo formule finanziarie con prezzi ""promo"" ma non sono vincolanti per l' acquisto*FINANZIAMENTI SU MISURA*DAL 1961 siamo a Voghera in via Piacenza 176, facilmente raggiungibili dalle principali città del nord. Siamo concessionari ufficiali ALFA ROMEO, JEEP, FIAT, LANCIA e ABARTH*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,"€ 0,-","0 mesi","Sì","Altro","Italia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
